title;director;duration;listed_in;rating;times_rated;duration_category
Strongest Deliveryman;;1;International, Romantic, Drama;8.33;334;Low Duration
Flavorful Origins;;3;International;9.87;214;Medium Duration
Heart & Soul;;1;International, Drama;9.98;260;Low Duration
Mismatched;;1;International, Romantic, Comedy;9.64;260;Low Duration
The Boss Baby: Back in Business;;4;Comedy;8.62;196;Medium Duration
The Crown;;4;International, Drama;9.61;327;Medium Duration
American Horror Story;;9;Horror, Thriller;8.49;285;High Duration
The Minions of Midas;Mateo Gil;1;International;8.29;282;Low Duration
Ethos;;1;International, Drama;9.22;296;Low Duration
Graceful Friends;;1;International, Drama;9.08;152;Low Duration
A Queen Is Born;Carla Barros;1;International;8.18;288;Low Duration
Aunty Donna's Big Ol' House of Fun;;1;Comedy;10.0;311;Low Duration
The Liberator;;1;Action & Adventure, Drama;9.84;339;Low Duration
DASH & LILY;;1;Romantic, Comedy, Drama;9.74;305;Low Duration
Wrong Kind of Black;;1;International, Comedy, Drama;8.07;327;Low Duration
Carmel: Who Killed Maria Marta?;Alejandro Hartmann;1;International;8.97;206;Low Duration
Paranormal;;1;International, Drama, Horror;9.9;178;Low Duration
Love & Anarchy;;1;International, Romantic, Comedy;9.16;318;Low Duration
Can You Hear Me?;;2;International, Comedy, Drama;9.48;204;Medium Duration
Dawson's Creek;;6;Romantic, Drama;8.02;203;High Duration
LEGO: CITY Adventures;;1;Comedy;9.97;390;Low Duration
The Garfield Show;;4;Comedy;9.44;208;Medium Duration
The Good Detective;;1;International, Drama;8.46;205;Low Duration
Voice;;2;International;9.21;185;Medium Duration
Afronta! Facing It!;Juliana Vicente;1;International;9.34;363;Low Duration
Zumbo's Just Desserts;;1;International;8.46;198;Low Duration
Marvel's Agents of S.H.I.E.L.D.;;7;Action & Adventure, Sci-Fi & Fantasy;8.8;253;High Duration
Suburra: Blood on Rome;;3;International, Drama;8.23;240;Medium Duration
The Devil Punisher;Chang Chin-jung, Chen Rong-hui;1;International, Romantic;8.12;258;Low Duration
Barbarians;;1;International, Action & Adventure, Drama;8.64;340;Low Duration
Move;Thierry Demaizière, Alban Teurlai;1;International;8.19;263;Low Duration
Stolen Away;;1;International;9.73;316;Low Duration
The Queen's Gambit;;1;Drama;8.94;342;Low Duration
My Next Guest Needs No Introduction With David Letterman;;3;Stand-Up Comedy;8.7;214;Medium Duration
Start-Up;;1;International, Romantic, Comedy;8.34;399;Low Duration
Grand Army;;1;Drama;9.94;320;Low Duration
La Révolution;;1;International, Action & Adventure, Drama;8.87;341;Low Duration
Someone Has to Die;Manolo Caro;1;International;9.89;353;Low Duration
The Last Kids on Earth;;3;Comedy;8.27;360;Medium Duration
Half & Half;;4;Comedy;9.32;259;Medium Duration
One on One;;5;Comedy;8.93;269;High Duration
Social Distance;;1;Comedy, Drama;8.36;398;Low Duration
The Cabin with Bert Kreischer;;1;Comedy;9.87;374;Low Duration
Kipo and the Age of Wonderbeasts;;3;Comedy;9.22;374;Medium Duration
The Haunting of Bly Manor;;1;Drama, Horror;9.43;299;Low Duration
Do Do Sol Sol La La Sol;;1;International, Romantic, Comedy;9.17;335;Low Duration
Private Lives;;1;International, Drama;8.45;316;Low Duration
The 100;;7;Action & Adventure, Drama, Sci-Fi & Fantasy;8.75;152;High Duration
To the Lake;Pavel Kostomarov;1;International, Drama;8.01;218;Low Duration
Bad Boy Billionaires: India;;1;International;9.73;397;Low Duration
DreamWorks Happy Holidays from Madagascar;;1;Comedy;8.19;244;Low Duration
Emily in Paris;;1;Romantic, Comedy, Drama;8.73;305;Low Duration
H2O: Just Add Water;;3;Drama;9.59;361;Medium Duration
Evil;;1;Drama;9.01;333;Low Duration
Familiar Wife;;1;International, Romantic, Drama;9.07;214;Low Duration
Food Wars!: Shokugeki no Soma;;2;International;8.37;347;Medium Duration
Good Morning, Verônica;;1;International;8.07;254;Low Duration
Journey of an African Colony;;1;International;8.45;321;Low Duration
Oktoberfest: Beer & Blood;;1;International, Drama;9.3;390;Low Duration
Secreto bien guardado;;1;International, Romantic;9.47;322;Low Duration
Sword Art Online;;3;International;9.34;210;Medium Duration
The Parkers;;5;Comedy;9.73;221;High Duration
The Unicorn;;1;Comedy, Drama;9.05;285;Low Duration
You Cannot Hide;;1;International;9.33;176;Low Duration
Black Butler;;3;International;9.26;377;Medium Duration
Man with a Plan;;4;Comedy;8.12;331;Medium Duration
Wentworth;;8;Drama;9.9;210;High Duration
Van Helsing;;4;International, Action & Adventure, Drama;8.39;150;Medium Duration
The Good Place;;4;Comedy;9.89;237;Medium Duration
A Perfect Crime;;1;International;8.94;301;Low Duration
Mighty Little Bheem;;3;Comedy;8.26;205;Medium Duration
Sneakerheads;;1;Comedy;9.77;220;Low Duration
The School Nurse Files;;1;International, Drama;9.43;186;Low Duration
Fukrey Boyzzz;;1;Comedy;8.02;283;Low Duration
Ratched;;1;Drama, Horror;9.41;266;Low Duration
The Blacklist;;7;Drama, Thriller;9.88;394;High Duration
Dragon's Dogma;;1;International;8.32;221;Low Duration
The Last Word;;1;International, Comedy, Drama;9.71;279;Low Duration
Baby;;3;International, Drama;8.85;177;Medium Duration
Criminal: UK;;2;International;9.04;177;Medium Duration
Signs;;2;International, Drama;8.5;259;Medium Duration
Call the Midwife;Philippa Lowthorpe;9;International, Drama;9.24;320;High Duration
Taco Chronicles;;2;International;8.81;370;Medium Duration
Family Business;;2;International, Comedy, Drama;9.53;245;Medium Duration
Girlfriends;;8;Comedy;8.97;224;High Duration
The Barrier;;1;International, Drama;9.64;303;Low Duration
The Duchess;;1;International, Comedy;8.62;361;Low Duration
Greenleaf;;5;Drama;9.67;282;High Duration
Julie and the Phantoms;Kenny Ortega;1;Comedy;9.88;260;Low Duration
La Línea: Shadow of Narco;Pepe Mora;1;International;8.04;196;Low Duration
Record of Youth;;1;International, Romantic, Drama;9.72;307;Low Duration
Cleverman;;1;Drama, Sci-Fi & Fantasy, Thriller;9.91;157;Low Duration
Away;;1;Romantic, Drama, Sci-Fi & Fantasy;8.13;381;Low Duration
Young Wallander;;1;International, Drama;8.96;372;Low Duration
The Witcher: A Look Inside the Episodes;;1;Sci-Fi & Fantasy;8.87;286;Low Duration
Blue Exorcist;;2;International;8.54;351;Medium Duration
Borgen;;3;International, Drama;8.86;160;Medium Duration
Erased;;1;International, Thriller;8.68;378;Low Duration
Felipe Esparza: Bad Decisions;;1;Stand-Up Comedy, Comedy;8.7;283;Low Duration
H;;4;International, Comedy;9.74;189;Medium Duration
Sister, Sister;;6;Comedy;8.75;319;High Duration
The Promised Neverland;;1;International, Thriller;8.14;255;Low Duration
Masaba Masaba;;1;International, Comedy, Drama;8.02;301;Low Duration
Aggretsuko;;3;International;8.27;190;Medium Duration
Her Mother's Killer;;1;International, Drama;8.2;294;Low Duration
Trinkets;;2;Drama;8.53;363;Medium Duration
Baewatch: Parental Guidance;;1;Romantic;8.76;177;Low Duration
Ojos in d' House;;1;International, Comedy;8.2;242;Low Duration
Hoops;;1;Comedy;8.43;346;Low Duration
Rust Valley Restorers;;3;International;9.47;271;Medium Duration
Goedam;Hong Won-ki;1;International, Horror;9.27;220;Low Duration
Stranger;;2;International;8.11;203;Medium Duration
Dérè: An African Tale;;1;International, Romantic, Drama;9.03;385;Low Duration
Rita;;5;International, Comedy, Drama;8.95;183;High Duration
Takki;;2;International, Drama;9.91;383;Medium Duration
3%;;4;International, Drama, Sci-Fi & Fantasy;9.32;196;Medium Duration
Teenage Bounty Hunters;;1;Comedy, Drama;9.22;223;Low Duration
The Great Heist;;1;International;9.91;379;Low Duration
The Legend of Korra;;4;Action & Adventure, Sci-Fi & Fantasy;9.49;237;Medium Duration
GAME ON: A Comedy Crossover Event;;1;Comedy;9.39;337;Low Duration
Terrace House: Tokyo 2019-2020;;2;International;9.23;200;Medium Duration
The Governor;;1;International, Drama;8.91;194;Low Duration
High Seas;;3;International;8.84;398;Medium Duration
Sing On! Germany;;1;International;9.02;321;Low Duration
Tiny Creatures;;1;Action & Adventure;9.04;287;Low Duration
Wizards: Tales of Arcadia;;1;Action & Adventure, Sci-Fi & Fantasy;8.77;327;Low Duration
The Rain;;3;International, Drama;8.28;267;Medium Duration
World's Most Wanted;;1;International;9.06;302;Low Duration
Mystery Lab;;1;International;9.94;209;Low Duration
Moesha;;6;Comedy;8.76;226;High Duration
Nagi-Asu: A Lull in the Sea;;1;Romantic;8.21;391;Low Duration
The Next Step;;1;Drama;8.78;229;Low Duration
Toradora!;;1;International, Romantic;8.52;304;Low Duration
Get Even;;1;International;8.74;397;Low Duration
The Umbrella Academy;;2;Action & Adventure, Sci-Fi & Fantasy;8.24;357;Medium Duration
Unlucky Ploy;Nopparoj Chotmunkongsit;1;International, Romantic, Comedy;8.55;234;Low Duration
Shameless (U.S.);;10;Comedy, Drama;9.89;331;High Duration
Sing On! Spain;;1;International;8.86;243;Low Duration
Norsemen;;3;International, Comedy;9.89;369;Medium Duration
Single Wives;;1;Romantic;9.59;368;Low Duration
Cursed;;1;Action & Adventure, Drama, Sci-Fi & Fantasy;9.96;384;Low Duration
In The Dark;;2;Drama;9.71;172;Medium Duration
Kissing Game;;1;International, Drama;9.6;238;Low Duration
Dark Desire;;1;International;8.61;189;Low Duration
Sunny Bunnies;;2;Comedy;8.86;383;Medium Duration
Dating Around: Brazil;Cassia Dian;1;International, Romantic;9.18;286;Low Duration
The Epic Tales of Captain Underpants in Space;;1;Action & Adventure, Comedy;8.71;244;Low Duration
The Twelve;Wouter Bouvijn;1;International, Drama;8.38;151;Low Duration
Japan Sinks: 2020;;1;International;8.95;323;Low Duration
The Protector;;4;International, Romantic, Action & Adventure;9.13;323;Medium Duration
Was It Love?;;1;International, Romantic;8.21;379;Low Duration
Stateless;;1;International, Drama;8.71;344;Low Duration
Hook;Rachit Kusonkoonsiri;1;International, Romantic, Comedy;8.43;174;Low Duration
Little Singham;;2;Comedy;9.1;236;Medium Duration
Cable Girls;;6;International, Romantic;9.59;331;High Duration
JU-ON: Origins;;1;International, Horror;9.74;234;Low Duration
The Baby-Sitters Club;;1;Drama;8.32;252;Low Duration
Warrior Nun;;1;Action & Adventure, Sci-Fi & Fantasy;8.23;321;Low Duration
A Touch of Green;;1;International, Drama;8.76;242;Low Duration
Say I Do;;1;Romantic;9.26;151;Low Duration
BNA;;1;International;8.42;307;Low Duration
Homemade;;1;International, Drama;8.85;378;Low Duration
Dark;;3;International, Drama;9.15;217;Medium Duration
All For Love;;1;International, Romantic;9.99;358;Low Duration
Twogether;;1;International;8.17;209;Low Duration
Crazy Delicious;;1;International;9.23;262;Low Duration
Roswell, New Mexico;;2;Drama, Sci-Fi & Fantasy;8.39;270;Medium Duration
It's Okay to Not Be Okay;;1;International, Romantic;8.75;232;Low Duration
Most Beautiful Thing;;2;International, Romantic, Drama;8.22;272;Medium Duration
The Politician;;2;Comedy, Drama;8.97;386;Medium Duration
The Order;;2;International, Drama, Horror;9.05;201;Medium Duration
Alexa & Katie;;4;Comedy;8.32;314;Medium Duration
How to Get Away with Murder;;6;Drama;9.13;187;High Duration
Dating Around;;2;Romantic;9.39;290;Medium Duration
F is for Family;;4;Comedy;8.3;356;Medium Duration
Frank Elstner: Just One Last Question;;1;International, Stand-Up Comedy;8.12;297;Low Duration
The Search;;1;International;8.32;238;Low Duration
The Woods;;1;International, Drama;9.09;377;Low Duration
Curon;;1;International, Drama, Horror;8.12;245;Low Duration
DC's Legends of Tomorrow;Rob Seidenglanz;5;Action & Adventure, Sci-Fi & Fantasy;8.14;209;High Duration
My Mister;;1;International;9.57;335;Low Duration
Reality Z;;1;International, Horror;8.98;386;Low Duration
Queen of the South;;4;Action & Adventure, Drama;9.67;267;Medium Duration
13 Reasons Why;;4;Drama;9.5;261;Medium Duration
Supernatural;Phil Sgriccia;15;Action & Adventure, Horror;8.78;165;High Duration
BAKI;;3;International;9.52;311;Medium Duration
Cardcaptor Sakura;;2;International;8.15;201;Medium Duration
Dear My Friends;;1;International, Drama;8.86;195;Low Duration
Megalobox;;1;International;8.32;150;Low Duration
Midnight Diner;;3;International, Drama;9.51;327;Medium Duration
My Shy Boss;;1;International, Romantic;9.09;305;Low Duration
Revolutionary Love;;1;International, Romantic;9.79;393;Low Duration
Space Force;;1;Comedy;9.82;386;Low Duration
Can't Cope, Won't Cope;;2;Comedy, Drama;9.33;321;Medium Duration
Dorohedoro;;1;International;8.06;270;Low Duration
Mako Mermaids: An H2O Adventure;;4;Comedy;8.55;308;Medium Duration
Supergirl;Jesse Warn;5;Action & Adventure, Sci-Fi & Fantasy;9.35;163;High Duration
Betaal;;1;International, Action & Adventure, Horror;8.41;213;Low Duration
Dynasty;;3;Drama;9.26;386;Medium Duration
History 101;;1;International;8.89;175;Low Duration
Trailer Park Boys: The Animated Series;Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells;2;Comedy;9.84;193;Medium Duration
Mystic Pop-up Bar;;1;International, Comedy;8.09;350;Low Duration
Especial 20 años Fútbol de Primera;;1;International;8.62;255;Low Duration
The Queen and the Conqueror;;1;International, Drama;8.69;283;Low Duration
Patton Oswalt: I Love Everything;Marcus Raboy;1;Stand-Up Comedy, Comedy;8.37;340;Low Duration
Sweet Magnolias;;1;Romantic, Drama;8.26;339;Low Duration
The Big Flower Fight;;1;International;9.01;186;Low Duration
Patriot Act with Hasan Minhaj;;6;Stand-Up Comedy, Comedy;9.12;177;High Duration
Boys Over Flowers;;1;International, Romantic;9.06;298;Low Duration
Iris;;1;International, Action & Adventure;9.87;331;Low Duration
Avatar: The Last Airbender;;3;Action & Adventure;9.62;192;Medium Duration
Inhuman Resources;Ziad Doueiri;1;International, Drama;9.25;396;Low Duration
Madam Secretary;;6;Drama;8.45;295;High Duration
Magic for Humans;;3;Comedy;9.48;198;Medium Duration
Parasyte: The Maxim;;1;International, Horror;9.42;180;Low Duration
She-Ra and the Princesses of Power;;5;Action & Adventure, Sci-Fi & Fantasy;9.57;165;High Duration
Sleepless Society: Two Pillows & A Lost Soul;Sivaroj Kongsakul;1;International, Drama;8.32;163;Low Duration
Strangers from Hell;;1;International, Horror;8.72;339;Low Duration
White Lines;;1;International;8.4;345;Low Duration
Bordertown;;3;International, Drama;9.11;275;Medium Duration
Dead to Me;;2;Comedy, Drama;8.71;336;Medium Duration
Restaurants on the Edge;;2;International;8.24;212;Medium Duration
The Eddy;Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul;1;International, Drama;8.99;321;Low Duration
The Hollow;;2;Thriller;9.14;266;Medium Duration
Scissor Seven;He Xiaofeng;2;International, Action & Adventure, Comedy;9.6;249;Medium Duration
Almost Happy;Hernán Guerschuny;1;International, Comedy;9.36;369;Low Duration
Hollywood;;1;Drama;9.19;379;Low Duration
Medici: Masters of Florence;;3;International, Drama;9.61;336;Medium Duration
Monthly Girls' Nozaki Kun;;1;Romantic;8.71;345;Low Duration
Oh Yuck;;1;Comedy;9.67;216;Low Duration
Reckoning;;1;Drama;8.06;201;Low Duration
DRIFTING DRAGONS;;1;International;9.23;291;Low Duration
El señor de los Cielos;;7;International;8.37;353;High Duration
Good Witch;;5;Drama, Sci-Fi & Fantasy;8.78;209;High Duration
The Forest of Love: Deep Cut;Sion Sono;1;International, Drama;8.65;216;Low Duration
The Victims' Game;David Chuang, Chen Kuan-chung;1;International, Drama;8.14;231;Low Duration
Extracurricular;;1;International;9.33;312;Low Duration
Nadiya’s Time to Eat;;1;International;9.69;173;Low Duration
Tjovitjo;;2;International, Drama;8.21;161;Medium Duration
The Last Kingdom;;4;International, Action & Adventure;9.4;183;Medium Duration
My Secret Romance;;1;International, Romantic;8.4;321;Low Duration
دفعة القاهرة;;1;International, Drama;8.26;213;Low Duration
After Life;;2;International, Comedy;8.03;348;Medium Duration
DreamWorks Spooky Stories: Volume 2;;1;Comedy;8.48;209;Low Duration
Love 101;;1;International, Drama;9.6;354;Low Duration
Ghost in the Shell: SAC_2045;;1;International;9.75;154;Low Duration
The House of Flowers;;3;International, Comedy;8.17;293;Medium Duration
Absurd Planet;;1;Comedy;8.97;301;Low Duration
Win the Wilderness;;1;International;8.2;292;Low Duration
Bleach;;5;International;8.96;241;High Duration
Middleditch & Schwartz;Ryan Polito;1;Comedy;8.02;220;Low Duration
Nicky Jam: El Ganador;;1;International;9.76;252;Low Duration
The Midnight Gospel;;1;Comedy;8.8;283;Low Duration
The King: Eternal Monarch;;1;International;8.36;216;Low Duration
#blackAF;;1;Comedy;9.25;245;Low Duration
El Dragón: Return of a Warrior;;2;International;8.85;241;Medium Duration
Hasmukh;;1;International, Comedy;8.73;344;Low Duration
Fary : Hexagone;Adrien Lagier, Ousmane Ly;2;International, Stand-Up Comedy, Comedy;8.65;269;Medium Duration
Fauda;;3;International, Action & Adventure;8.9;383;Medium Duration
Brews Brothers;;1;Comedy;8.59;275;Low Duration
The Trial;Stefano Lodovichi;1;International, Drama;9.79;397;Low Duration
Hi Score Girl;;2;International, Romantic;8.77;361;Medium Duration
The Circle France;;1;International;8.05;209;Low Duration
El Reemplazante;;2;International, Drama;8.41;359;Medium Duration
Legacies;;2;Drama, Sci-Fi & Fantasy;8.32;333;Medium Duration
Community;;6;Comedy;8.44;152;High Duration
Man Like Mobeen;;3;International, Comedy;9.56;293;Medium Duration
Sunderland 'Til I Die;;2;International;9.79;369;Medium Duration
The Iliza Shlesinger Sketch Show;;1;Comedy;9.5;344;Low Duration
The Windsors;;3;International, Comedy;9.16;224;Medium Duration
Well-Intended Love;;2;International, Romantic, Comedy;8.64;311;Medium Duration
Akbar Birbal;;1;Comedy, Drama;9.38;169;Low Duration
Rugal;;1;International;8.55;198;Low Duration
Happy!;;2;Action & Adventure, Comedy;8.22;345;Medium Duration
Ladies Up;;1;International, Stand-Up Comedy, Comedy;9.48;164;Low Duration
Ozark;;3;Drama, Thriller;8.51;194;Medium Duration
Wassup Man GO!;;1;International;8.18;360;Low Duration
7SEEDS;;2;International;8.4;385;Medium Duration
Unorthodox;;1;International, Drama;9.39;337;Low Duration
Freud;;1;International, Drama;8.72;365;Low Duration
J-Style Trip;;1;International;8.69;292;Low Duration
Archibald's Next Big Thing;;2;Comedy;8.08;191;Medium Duration
Greenhouse Academy;;4;Drama;8.42;173;Medium Duration
Self Made: Inspired by the Life of Madam C.J. Walker;;1;Drama;9.47;305;Low Duration
She;;1;International, Drama;9.79;241;Low Duration
The English Game;;1;International, Drama;8.43;292;Low Duration
The Letter for the King;;1;International, Action & Adventure;9.52;369;Low Duration
Vampires;;1;International, Drama, Horror;8.54;195;Low Duration
Caliphate;;1;International, Drama;9.31;355;Low Duration
Women Of The Night;;1;International, Drama;8.07;323;Low Duration
Shaun the Sheep: Adventures from Mossy Bottom;;1;Comedy;8.02;362;Low Duration
Bloodride;;1;International, Horror;9.07;250;Low Duration
Kingdom;Kim Seong-hun;2;International, Action & Adventure;8.37;370;Medium Duration
The Valhalla Murders;;1;International, Drama;8.43;347;Low Duration
On My Block;;3;Romantic, Comedy, Drama;8.02;211;Medium Duration
The Circle Brazil;;1;International;9.76;193;Low Duration
Mighty Little Bheem: Festival of Colors;;1;Comedy;9.3;338;Low Duration
Velvet;Carlos Sedes;4;International, Romantic;8.4;281;Medium Duration
Akame ga Kill!;;1;International;8.54;185;Low Duration
Babylon Berlin;;3;International, Drama;9.98;344;Medium Duration
Always a Witch;;2;International, Comedy;8.56;199;Medium Duration
Queen Sono;;1;International, Action & Adventure, Drama;8.16;188;Low Duration
Toy Boy;;1;International;8.28;325;Low Duration
Unstoppable;;1;International, Drama;8.9;268;Low Duration
Altered Carbon;;2;Action & Adventure, Drama;8.63;246;Medium Duration
Followers;;1;International, Drama;8.25;229;Low Duration
I Am Not Okay With This;;1;Comedy, Drama, Sci-Fi & Fantasy;9.16;377;Low Duration
Hi Bye, Mama!;;1;International, Romantic;8.28;311;Low Duration
Gentefied;;1;Comedy, Drama;8.81;158;Low Duration
Hyena;;1;International, Romantic;9.64;348;Low Duration
Passion. Panache. Pep;;1;International;8.84;371;Low Duration
Puerta 7;;1;International;8.96;185;Low Duration
Spectros;;1;International, Horror;8.73;236;Low Duration
DreamWorks Shrek's Swamp Stories;;1;Action & Adventure, Comedy;9.55;365;Low Duration
On the Real;Tosin Coker;1;International, Drama;8.66;195;Low Duration
Talking Tom and Friends;;1;Comedy;9.52;354;Low Duration
Taj Mahal 1989;;1;International, Romantic, Comedy;8.12;333;Low Duration
Love Is Blind;;1;Romantic;9.01;304;Low Duration
Narcos: Mexico;;2;Action & Adventure, Drama;9.29;290;Medium Duration
Palazuelos mi rey;;1;International;8.79;217;Low Duration
Sleepless Society: Insomnia;Pantham Thongsang, Cheewatan Pusitsuksa;1;International, Drama;9.71;292;Low Duration
We Bare Bears;;2;Comedy;9.8;208;Medium Duration
Better Call Saul;;4;Comedy, Drama;9.55;171;Medium Duration
Dragons: Rescue Riders;;2;Comedy;8.79;268;Medium Duration
Fifty: The Series;;2;International, Romantic, Drama;8.62;317;Medium Duration
Locke & Key;;1;Action & Adventure, Drama;8.63;164;Low Duration
My Holo Love;;1;International, Romantic;8.13;285;Low Duration
Cagaster of an Insect Cage;;1;International;9.97;158;Low Duration
Arrow;James Bamford;8;Action & Adventure;9.3;326;High Duration
Team Kaylie;;3;Comedy;8.71;222;Medium Duration
Is It Wrong to Try to Pick Up Girls in a Dungeon?;;1;International;8.62;350;Low Duration
Itaewon Class;;1;International, Drama;8.68;224;Low Duration
Miraculous: Tales of Ladybug & Cat Noir;Thomas Astruc;5;Action & Adventure;8.89;241;High Duration
No Game No Life;;1;International;9.34;299;Low Duration
Pop Team Epic;;1;International;8.78;281;Low Duration
Diablero;;2;International, Action & Adventure;8.85;348;Medium Duration
Luna Nera;;1;International, Romantic, Drama;8.45;358;Low Duration
Unauthorized Living;;2;International;8.21;387;Medium Duration
Ainori Love Wagon: African Journey;;1;International, Romantic;9.16;359;Low Duration
THE STRANGER;;1;International;8.14;251;Low Duration
What the Love! with Karan Johar;;1;International, Romantic;8.51;397;Low Duration
Find Yourself;;1;International, Romantic, Comedy;9.31;339;Low Duration
Omniscient;;1;International, Drama, Sci-Fi & Fantasy;9.63;285;Low Duration
Sons of the Caliphate;;2;International, Drama;9.4;190;Medium Duration
The Ranch;;8;Comedy, Drama;9.46;390;High Duration
October Faction;;1;Action & Adventure, Drama, Horror;9.45;335;Low Duration
​SAINT SEIYA: Knights of the Zodiac;;2;International;8.0;213;Medium Duration
The Ghost Bride;Quek Shio-chuan;1;International, Drama;8.16;369;Low Duration
Playing with Fire;;1;International, Romantic;8.02;177;Low Duration
DreamWorks How to Train Your Dragon Legends;;1;Action & Adventure, Sci-Fi & Fantasy;8.93;265;Low Duration
Ares;;1;International, Drama, Horror;9.32;292;Low Duration
Hip-Hop Evolution;;4;International;9.26;193;Medium Duration
Nailed It! Germany;;1;International;9.0;241;Low Duration
Handsome Siblings;;1;International, Drama, Sci-Fi & Fantasy;9.5;306;Low Duration
Soul Eater;;1;International;9.26;181;Low Duration
The Healing Powers of Dude;;1;Comedy, Drama;9.21;210;Low Duration
AJ and the Queen;;1;Comedy, Drama;8.31;313;Low Duration
Giri / Haji;;1;International;9.31;208;Low Duration
Harvey Street Kids;;4;Comedy;9.04;369;Medium Duration
Jamtara - Sabka Number Ayega;Soumendra Padhi;1;International, Drama;9.98;378;Low Duration
Medical Police;;1;Action & Adventure, Comedy;8.41;297;Low Duration
The InBESTigators;;2;Comedy;9.14;394;Medium Duration
Until Dawn;;1;International, Comedy;8.36;345;Low Duration
Dracula;;1;International, Drama;9.11;214;Low Duration
Anne with an E;;3;International, Drama;8.93;232;Medium Duration
Thieves of the Wood;;1;International, Action & Adventure, Drama;9.66;341;Low Duration
Because This Is My First Life;;1;International, Romantic;8.76;375;Low Duration
Border Security: America's Front Line;;1;International;8.05;228;Low Duration
Live Up To Your Name;;1;International, Romantic;9.08;343;Low Duration
Messiah;;1;Drama, Thriller;9.1;259;Low Duration
Nisman: The Prosecutor, the President, and the Spy;Justin Webster;1;International;9.46;398;Low Duration
Reply 1988;;1;International, Romantic;9.85;183;Low Duration
Save Me;;1;International, Drama;9.38;282;Low Duration
Spinning Out;;1;Drama;9.82;197;Low Duration
The Bride of Habaek;;1;International, Romantic;8.8;379;Low Duration
ARASHI's Diary -Voyage-;;1;International;9.85;315;Low Duration
Occupied;;3;International, Drama, Thriller;8.49;245;Medium Duration
The Degenerates;;2;Stand-Up Comedy, Comedy;9.89;188;Medium Duration
Yanxi Palace: Princess Adventures;;1;International, Drama;8.81;316;Low Duration
The Disastrous Life of Saiki K.: Reawakened;;1;International;8.49;192;Low Duration
The Bonfire of Destiny;;1;International, Drama;8.31;181;Low Duration
You;Lee Toland Krieger;2;Romantic, Drama;8.35;171;Medium Duration
CAROLE & TUESDAY;;2;International;8.21;283;Medium Duration
Lost in Space;;2;Action & Adventure, Drama, Sci-Fi & Fantasy;9.72;381;Medium Duration
Private Practice;;6;Comedy, Drama;8.38;291;High Duration
Agent;;1;International, Drama;9.29;387;Low Duration
The Witcher;;1;International, Action & Adventure, Drama;9.79;189;Low Duration
Twice Upon A Time;;1;International, Romantic, Drama;9.94;369;Low Duration
Ultraviolet;;2;International, Drama;9.48;366;Medium Duration
Soundtrack;;1;Romantic, Drama;10.0;317;Low Duration
Cinderella and the Four Knights;;1;International, Romantic;8.81;252;Low Duration
Crash Landing on You;;1;International, Romantic;9.15;212;Low Duration
Crazy, Lovely, Cool;Obi Emelonye;1;International, Drama;8.05;320;Low Duration
Girls und Panzer;Tsutomu Mizushima;1;International;9.07;235;Low Duration
Scooby-Doo!: Mystery Incorporated;;2;Comedy;8.74;328;Medium Duration
What's New Scooby-Doo?;;3;Comedy;8.77;198;Medium Duration
Astronomy Club: The Sketch Show;;1;Comedy;8.19;314;Low Duration
Fuller House;;5;Comedy;9.37;151;High Duration
Teasing Master Takagi-san;;1;International, Romantic;8.83;309;Low Duration
The Chosen One;Michel Tikhomiroff;2;International, Drama;8.25;362;Medium Duration
Three Days of Christmas;;1;International, Drama;8.04;196;Low Duration
Triad Princess;;1;International, Romantic;8.08;157;Low Duration
V Wars;;1;Action & Adventure, Drama, Horror;9.85;166;Low Duration
The Last O.G.;;2;Comedy;8.31;170;Medium Duration
The Prince of Tennis ~ Match! Tennis Juniors ~;;1;International, Drama;8.72;153;Low Duration
The Road to Love;;1;International, Romantic;8.84;266;Low Duration
Nightflyers;;1;Horror, Sci-Fi & Fantasy;9.2;343;Low Duration
Eastsiders;;4;Comedy, Drama;8.53;284;Medium Duration
Space Jungle;;2;Comedy;8.23;370;Medium Duration
Chocolate;;1;International, Romantic;9.56;365;Low Duration
La Reina del Sur;;2;International;9.57;155;Medium Duration
The Charming Stepmom;;1;International, Romantic, Comedy;8.24;207;Low Duration
Levius;;1;International;9.64;351;Low Duration
Lugar de Mulher;;1;International, Stand-Up Comedy, Comedy;8.68;239;Low Duration
Merry Happy Whatever;;1;Comedy;9.34;257;Low Duration
Mythomaniac;;1;International, Comedy, Drama;8.82;349;Low Duration
The Crime;;2;International, Drama;9.45;285;Medium Duration
Zona Rosa;;1;International, Stand-Up Comedy;8.99;331;Low Duration
Once Upon A Time In Lingjian Mountain;;1;International, Comedy, Sci-Fi & Fantasy;8.81;220;Low Duration
Dolly Parton's Heartstrings;;1;Drama;8.72;305;Low Duration
Nobody's Looking;;1;International, Comedy, Drama;8.76;209;Low Duration
Singapore Social;;1;International;9.94;227;Low Duration
The Dragon Prince;;3;Action & Adventure, Sci-Fi & Fantasy;8.95;312;Medium Duration
Trolls: The Beat Goes On!;;8;Comedy;8.26;215;High Duration
Bangkok Buddies;;1;International, Comedy, Drama;9.19;181;Low Duration
Holiday Secrets;;1;International, Drama;8.01;284;Low Duration
Who Killed Little Gregory?;;1;International;9.05;375;Low Duration
